time,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
0.280000000,0.361194931,-0.102595410,-0.004514483,0.004413591,-0.028833113,-0.222905352,0.002560534,0.927570372,0.373589368,0.006134566
0.282500000,1.845203051,-0.007015613,0.618304270,0.004618677,-0.041627180,-0.247507518,0.002553479,0.927621397,0.373462950,0.006119555
0.285000000,2.517265805,0.162950549,0.884670290,0.004271796,-0.066458999,-0.238634728,0.002555116,0.927676425,0.373326129,0.006125655
0.287500000,1.967550372,0.363307943,0.617353264,0.004204380,-0.090435391,-0.246931655,0.002569099,0.927727272,0.373199071,0.006161338
0.290000000,0.599210818,0.534493213,-0.007874096,0.004097684,-0.100846951,-0.238122943,0.002591022,0.927780429,0.373065837,0.006216362
0.292500000,-0.766859323,0.618850618,-0.633448212,0.004190742,-0.091288780,-0.226098145,0.002612850,0.927823423,0.372957833,0.006270851
0.295000000,-1.314650372,0.592870353,-0.902549710,0.004586565,-0.068098237,-0.225731918,0.002626248,0.927866226,0.372850658,0.006305213
0.297500000,-0.639647922,0.457639584,-0.637195107,0.004685084,-0.044002014,-0.205251793,0.002627024,0.927900219,0.372765985,0.006308922
0.300000000,0.851641976,0.261075663,-0.013721789,0.005076906,-0.031809975,-0.218532441,0.002618562,0.927933149,0.372684376,0.006290433
0.302500000,2.334115207,0.065785941,0.609205105,0.004884816,-0.037859169,-0.205293992,0.002608173,0.927965026,0.372605460,0.006267331
0.305000000,2.988204201,-0.067303659,0.875412904,0.005022865,-0.056044210,-0.225879653,0.002603394,0.927996018,0.372528460,0.006257762
0.307500000,2.405680736,-0.092460537,0.608138805,0.004913133,-0.073698498,-0.226273939,0.002607523,0.928033719,0.372434294,0.006270047
0.310000000,0.990857420,-0.009725481,-0.016983340,0.005123701,-0.078319124,-0.238494358,0.002616836,0.928069681,0.372344188,0.006294801
0.312500000,-0.433955706,0.157561009,-0.641642785,0.005500696,-0.063763400,-0.247404264,0.002623103,0.928113733,0.372234023,0.006312633
0.315000000,-1.050084044,0.353547998,-0.908879435,0.005770960,-0.036473491,-0.239424776,0.002618934,0.928153596,0.372134772,0.006305108
0.317500000,-0.452860534,0.519353533,-0.641631149,0.006249042,-0.009406661,-0.248585429,0.002600266,0.928195671,0.372030661,0.006262730
0.320000000,0.954884754,0.611890112,-0.016286795,0.006120256,0.004599936,-0.224476610,0.002571329,0.928231941,0.371941486,0.006195352
0.322500000,2.349356874,0.604899979,0.608020230,0.006192472,-0.000935686,-0.230672110,0.002539929,0.928262738,0.371866053,0.006121906
0.325000000,2.913342526,0.510247026,0.875400059,0.005772782,-0.019853986,-0.208729407,0.002514154,0.928290195,0.371798660,0.006062084
0.327500000,2.242716265,0.353180082,0.610274330,0.005725363,-0.039550624,-0.213387167,0.002498113,0.928309346,0.371751542,0.006025641
0.330000000,0.743821115,0.178988869,-0.012005217,0.005719236,-0.047366901,-0.210938722,0.002488322,0.928331352,0.371696991,0.006004629
0.332500000,-0.756165318,0.034620190,-0.633294461,0.005943926,-0.037139299,-0.213883083,0.002477525,0.928348412,0.371654834,0.005981053
0.335000000,-1.435084888,-0.043640204,-0.897483685,0.006438636,-0.015087060,-0.232394187,0.002458347,0.928372986,0.371594270,0.005937491
0.337500000,-0.885424513,-0.029104439,-0.628882663,0.006592226,0.005967814,-0.229347733,0.002427574,0.928397565,0.371534201,0.005865699
0.340000000,0.492195671,0.071791466,-0.003296595,0.006936657,0.013412843,-0.253753856,0.002389345,0.928427531,0.371460966,0.005775944
0.342500000,1.874972642,0.237064623,0.620636957,0.006658311,0.001007226,-0.241914094,0.002351893,0.928459340,0.371383047,0.005688104
0.345000000,2.443736929,0.419302336,0.887911125,0.006611558,-0.024878180,-0.254390371,0.002323254,0.928488569,0.371311160,0.005621636
0.347500000,1.795233750,0.564389684,0.623912743,0.006304233,-0.051368190,-0.239483084,0.002307513,0.928518556,0.371236791,0.005586766
0.350000000,0.332263649,0.629399134,0.002927622,0.006283937,-0.065591600,-0.234204667,0.002301186,0.928539078,0.371185680,0.005574673
0.352500000,-1.117967284,0.584925851,-0.617732040,0.006447633,-0.061146051,-0.228988616,0.002296669,0.928559708,0.371134205,0.005567301
0.355000000,-1.735157115,0.444852105,-0.882619612,0.006578907,-0.044071246,-0.214535246,0.002286441,0.928571206,0.371105822,0.005545863
0.357500000,-1.114063303,0.245685403,-0.616666826,0.006979999,-0.026983728,-0.227621915,0.002266737,0.928584073,0.371074405,0.005501524
0.360000000,0.343261739,0.049365834,0.005679175,0.006946595,-0.022412400,-0.216735080,0.002241227,0.928594906,0.371048315,0.005442980
0.362500000,1.811291038,-0.081521523,0.626488327,0.007187256,-0.036432968,-0.242339046,0.002217536,0.928608097,0.371016231,0.005388994
0.365000000,2.467658135,-0.111464313,0.891139117,0.007051906,-0.062696482,-0.240745070,0.002202949,0.928626977,0.370969515,0.005357533
0.367500000,1.907551817,-0.027734385,0.625406404,0.007237848,-0.088251372,-0.261069193,0.002201074,0.928646244,0.370921296,0.005357275
0.370000000,0.529692049,0.136677908,0.002492762,0.007393827,-0.100321754,-0.265981393,0.002207632,0.928673538,0.370852615,0.005378130
0.372500000,-0.841654445,0.331507447,-0.620456824,0.007654345,-0.092539954,-0.265945097,0.002214738,0.928696811,0.370793965,0.005400331
0.375000000,-1.388849098,0.496057080,-0.887823808,0.008080820,-0.071113570,-0.273101504,0.002214202,0.928724134,0.370725472,0.005404137
0.377500000,-0.711716112,0.577799639,-0.624681318,0.008178035,-0.048766845,-0.254092892,0.002201992,0.928744634,0.370674547,0.005379208
0.380000000,0.787156224,0.558615602,-0.004560377,0.008505223,-0.038279482,-0.263313415,0.002181357,0.928763209,0.370628782,0.005333727
0.382500000,2.279179398,0.441589929,0.614574961,0.008378960,-0.045880596,-0.242545953,0.002159523,0.928777635,0.370593451,0.005285394
0.385000000,2.942111178,0.265686916,0.877959645,0.008590178,-0.065504840,-0.255218476,0.002143797,0.928787390,0.370569566,0.005252182
0.387500000,2.371591302,0.079229477,0.611930835,0.008637958,-0.084417211,-0.250885053,0.002137355,0.928800472,0.370536952,0.005242250
0.390000000,0.966872676,-0.067449563,-0.010782122,0.008944717,-0.090076706,-0.263714103,0.002136436,0.928810658,0.370511372,0.005245994
0.392500000,-0.446764307,-0.131368818,-0.632710399,0.009333697,-0.076385010,-0.279830804,0.002132915,0.928830518,0.370461635,0.005243743
0.395000000,-1.048857431,-0.099585597,-0.898354810,0.009577578,-0.049709917,-0.284444992,0.002119386,0.928850518,0.370411946,0.005216650
0.397500000,-0.438980709,0.023389810,-0.633716100,0.009976398,-0.023026550,-0.309170907,0.002091857,0.928879295,0.370340796,0.005155076
0.400000000,0.984264739,0.199381006,-0.012135127,0.009924420,-0.009216155,-0.300350632,0.002054282,0.928909138,0.370267342,0.005068498
0.402500000,2.393454403,0.379056261,0.608282130,0.010120296,-0.014684498,-0.318030690,0.002014222,0.928939812,0.370191856,0.004975753
0.405000000,2.968506376,0.511033592,0.873243016,0.009978638,-0.033391181,-0.302099449,0.001979497,0.928970964,0.370114922,0.004896392
0.407500000,2.308506753,0.551596356,0.610331651,0.010127288,-0.052707241,-0.306391893,0.001953980,0.928995016,0.370055426,0.004839919
0.410000000,0.814533729,0.490778368,-0.008170425,0.010224109,-0.060004918,-0.299017226,0.001934289,0.929020461,0.369992187,0.004798305
0.412500000,-0.683720223,0.339672922,-0.625228735,0.010371258,-0.049220203,-0.295081380,0.001913252,0.929037861,0.369949183,0.004753299
0.415000000,-1.361966926,0.145266751,-0.886473504,0.010628398,-0.026544144,-0.308114471,0.001883701,0.929059625,0.369895519,0.004687323
0.417500000,-0.816935520,-0.034117683,-0.619463377,0.010598178,-0.004877115,-0.304229880,0.001842525,0.929079566,0.369846830,0.004592145
0.420000000,0.555753866,-0.145792377,0.003070948,0.010797407,0.003108207,-0.333628974,0.001793784,0.929105562,0.369783158,0.004478023
0.422500000,1.930241753,-0.151921447,0.623742283,0.010670906,-0.008807459,-0.332990170,0.001745540,0.929137081,0.369705539,0.004365006
0.425000000,2.485793008,-0.056354568,0.889426157,0.010852652,-0.034360173,-0.360493640,0.001705683,0.929171862,0.369619378,0.004272850
