time,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
1769645286.627326,-10.052606,-0.109995,0.212817,-0.004887,-0.005651,-0.000458,-9.864896,-0.175753,0.123147,0.005040,-0.002596,0.005345,-9.872069,0.071736,0.130320,-0.008399,0.011606,-0.000153,-9.677187,-0.077714,0.036466,0.010079,0.006567,-0.003512
1769645286.627326,-10.107603,-0.063367,0.330583,-0.002902,-0.001833,0.001527,-9.897775,-0.136896,0.273195,0.006567,-0.001833,0.004581,-9.912122,0.149450,0.301291,-0.007025,0.011912,0.000458,-9.709468,-0.038259,0.230751,0.012523,0.014508,-0.004123
1769645286.627326,-10.142276,-0.053802,0.553563,-0.004734,0.003207,0.005345,-9.936632,-0.064562,0.457317,0.009316,-0.005040,0.007483,-10.037063,0.145265,0.529651,-0.004123,0.011148,0.001680,-9.806311,0.034075,0.419656,0.010385,0.009468,-0.000458
1769645286.627326,-10.142276,-0.053802,0.553563,-0.004734,-0.001069,0.005345,-9.949782,-0.150646,0.301291,0.009468,-0.011759,0.005803,-9.917501,0.150048,0.333572,-0.007178,0.005192,-0.001222,-9.714250,-0.051411,0.253467,0.009316,0.004734,-0.002443
1769645286.628324,-10.120754,-0.199665,0.242707,-0.002291,-0.010690,0.003818,-9.910329,-0.229555,0.160808,0.007025,-0.011148,0.010690,-10.014346,-0.009565,0.227164,-0.006414,0.004429,0.001833,-9.785987,-0.132712,0.114778,0.012523,0.004734,-0.000153
1769645286.628324,-10.074127,-0.115973,0.281564,-0.001833,-0.008552,-0.003207,-9.862504,-0.144668,0.257054,0.007789,-0.011301,0.002749,-9.931252,0.077714,0.230751,-0.003512,0.007483,-0.006109,-9.723815,-0.029890,0.227762,0.015424,0.006720,-0.006872
1769645286.628324,-10.104613,0.153635,0.386179,-0.003818,-0.005498,-0.004276,-9.904350,0.058584,0.387374,0.012370,-0.010996,0.001069,-9.901362,0.353898,0.410091,-0.003665,0.006720,-0.006261,-9.697512,0.179340,0.380201,0.011759,0.005803,-0.009621
1769645286.628324,-10.011955,0.248685,0.283955,-0.003971,-0.005651,-0.001527,-9.800333,0.154232,0.276184,0.010537,-0.016493,0.001985,-9.799137,0.429220,0.264825,-0.003054,-0.000153,-0.001985,-9.626971,0.245696,0.257054,0.010537,0.001680,-0.007025
1769645286.628324,-10.033475,0.125538,0.209230,-0.003054,-0.010385,0.002138,-9.809898,0.066954,0.197274,0.005956,-0.013286,0.007636,-9.816475,0.319823,0.206839,-0.005040,0.002291,0.000305,-9.615016,0.135701,0.117169,0.011912,0.001680,-0.001222
1769645286.628324,-9.998206,-0.026303,0.275586,-0.005651,-0.010690,0.002596,-9.780606,-0.014347,0.284553,0.008399,-0.011454,0.005651,-9.880439,0.175753,0.271401,-0.005040,0.003971,0.000916,-9.629362,0.040650,0.245696,0.010996,0.003971,0.001222
1769645286.628324,-9.978478,-0.038259,0.374223,-0.006567,-0.006872,-0.001222,-9.782997,-0.021521,0.386777,0.008399,-0.015882,0.003207,-9.849353,0.183525,0.364658,-0.005040,0.001374,-0.002749,-9.636537,0.070540,0.339550,0.013592,0.000153,-0.003054
1769645286.628324,-9.956957,0.138690,0.324008,-0.007483,-0.008247,-0.004581,-9.751313,0.079507,0.258847,0.006414,-0.015730,0.001069,-9.753705,0.351506,0.314443,-0.009010,0.000764,-0.007178,-9.527737,0.172166,0.260043,0.004887,0.000153,-0.007636
1769645286.628324,-9.879841,0.164993,0.159015,-0.010843,-0.013134,-0.000458,-9.707675,0.120158,0.121951,0.001527,-0.015882,0.001527,-9.677187,0.393352,0.164993,-0.009010,-0.001833,-0.001985,-9.470946,0.210426,0.084888,0.006261,0.000764,-0.008399
